Radetiketter
Allégaraget
Angered
Arenagaraget
Arwidsro Bonden 11 (Strängnäs)
Asecs
Atrium Ljungberg Liljeholmen
BAS Barkaby
Bauhaus Bromma
Bauhaus Sickla
Bauhaus Sisjön
Bikupan
Chokladfabriken
Citygaraget
Commerce
Cylindergaraget
Dalénum
Entrégaraget
Eriksbergs Handelsplats
Frösundaviksparken
Getingen 13 & 14
Globen Shopping
Grand Central
Gränbystaden
Gårdsgaraget
Hallonbergen Centrum
Hangar 5
Haninge Centrum
Herrjärva/Sadelplatsen 2
Hotell Aiden
Huvudsta Centrum
ICA HK
Ica Karlsson
ICA Kvantum Limhamn
ICA Maxi Arninge
ICA Maxi Barkarby
ICA Maxi SBP
Jakobsbergs Centrum
Kattvikskajen
Kista Galleria
Kista Science Tower
Kongahälla
Kvarnholmen
Liljeholmstorget Galleria
Lindhagen
Löfberg Fastigheter
Mobilia
Märsta Centrum
Nacka Forum
Nordstan
Odenplansgaraget
Orminge Centrum
Patienten 1
PEAB HK
P-hus Avenyn
P-hus Dockan
P-hus Däcket
P-hus Högne
P-hus Oxen
Port 73
Råsunda Södra
Sheraton
Sickla Köpkvarter
Signalfabriken
Sillkajen
Sliparen 2
Sollentuna Centrum
Solna Centrum
Stenungstorg Centrum
Söder Gallerian
Söderskansgaraget
Technopolis
Torsviksgaraget
Tulegaraget
Tumba Centrum
Tyresö Centrum
Ulriksdalsgaraget
Von Conow
Vällingby Centrum
Väsby Centrum
Wallenstam Umami Park
Westfield Mall of Scandinavia
Westfield Täby Centrum
Åkersberga Centrum
Totalsumma
